time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
900	0.12562	0.17516	0.18028	0.17954	0.17912	0.17932	0.1789	0.17778	0.18506	0.17922	0.18532	0.18766	0.19076	0.1894	0.17276	0.18298	0.1806	0.18484	0.18822	0.1902	0.16308	0.15706	0.16502	0.17224	0.15846	0.15864	0.16066	0.16826	0.16504	0.16076	0.1419	0.14048	0.14736	0.15262	0.14672	0.14928	0.14884	0.15314	0.14822	0.14484
930	0.12562	0.17684	0.18228	0.1815	0.18104	0.18128	0.18096	0.17974	0.18722	0.1814	0.18714	0.18962	0.19242	0.19138	0.1741	0.18468	0.1824	0.18666	0.1904	0.19268	0.16392	0.15768	0.16602	0.17336	0.1587	0.15914	0.16136	0.16936	0.16624	0.16184	0.1421	0.14068	0.14804	0.15364	0.14722	0.14982	0.14954	0.15408	0.14872	0.1452
960	0.12576	0.17874	0.18424	0.18352	0.18288	0.18328	0.18276	0.18172	0.18972	0.18362	0.18892	0.19154	0.19458	0.1937	0.1757	0.18674	0.18442	0.18896	0.193	0.19676	0.16518	0.15852	0.16752	0.17502	0.15956	0.16008	0.1625	0.17056	0.16766	0.16326	0.14232	0.14098	0.14876	0.15478	0.14782	0.15052	0.15038	0.15496	0.14938	0.14592
990	0.12572	0.18048	0.1863	0.1854	0.18486	0.18538	0.18498	0.18386	0.19222	0.18614	0.19078	0.1937	0.1967	0.19602	0.1772	0.18856	0.18656	0.1911	0.19548	0.19966	0.166	0.15912	0.16874	0.17658	0.16012	0.16076	0.1634	0.1718	0.16898	0.16472	0.14246	0.14112	0.1495	0.156	0.14838	0.15118	0.15128	0.15592	0.15004	0.14646
1020	0.12574	0.18272	0.1885	0.18754	0.1868	0.18744	0.18728	0.18596	0.19484	0.18874	0.19274	0.19588	0.19876	0.19852	0.17866	0.19038	0.1886	0.19342	0.19828	0.20336	0.16736	0.16014	0.17024	0.17842	0.16094	0.16172	0.16448	0.17328	0.17052	0.16626	0.14274	0.1414	0.15032	0.1574	0.14914	0.15206	0.15222	0.15696	0.15056	0.14714
1050	0.12566	0.18456	0.19066	0.1897	0.1889	0.1896	0.1895	0.18826	0.1978	0.19146	0.19532	0.1982	0.20116	0.20112	0.18046	0.19246	0.19098	0.19606	0.20132	0.2072	0.16882	0.16098	0.17194	0.18044	0.16192	0.16262	0.16574	0.17474	0.17214	0.1681	0.14308	0.14162	0.15138	0.15908	0.14992	0.15292	0.1535	0.15818	0.15132	0.14776
1080	0.12566	0.18676	0.19308	0.19206	0.19118	0.19208	0.19188	0.19082	0.2009	0.19444	0.19768	0.20066	0.20392	0.20418	0.18228	0.19488	0.1936	0.19888	0.20452	0.2118	0.17006	0.16196	0.17372	0.18264	0.16298	0.16368	0.16698	0.17646	0.17404	0.17012	0.14344	0.14198	0.15246	0.16094	0.15086	0.15408	0.15466	0.15968	0.15232	0.14884
1110	0.12586	0.18922	0.19582	0.1946	0.19368	0.1946	0.1946	0.19362	0.20424	0.19784	0.20026	0.20342	0.20676	0.20736	0.18412	0.1972	0.19632	0.20172	0.20818	0.21686	0.17164	0.16304	0.1756	0.18496	0.16384	0.16488	0.16842	0.17838	0.17618	0.1726	0.14392	0.1425	0.1539	0.1632	0.1521	0.15544	0.15632	0.16148	0.15384	0.15016
1140	0.12576	0.19174	0.1985	0.19736	0.19634	0.19736	0.19758	0.19654	0.20784	0.20134	0.20252	0.2063	0.20928	0.21056	0.18582	0.19946	0.19906	0.20464	0.21168	0.22256	0.17328	0.1642	0.17772	0.18764	0.16498	0.16622	0.1701	0.18052	0.17862	0.17542	0.14432	0.14296	0.15546	0.16558	0.15342	0.15694	0.15788	0.1633	0.15476	0.15132
1170	0.12572	0.1943	0.20136	0.20012	0.19916	0.20028	0.20062	0.19948	0.21158	0.20498	0.20554	0.20944	0.21262	0.2142	0.18814	0.20232	0.20214	0.20818	0.21598	0.22872	0.17516	0.16548	0.1802	0.19052	0.16622	0.16748	0.1717	0.18278	0.18116	0.17848	0.1447	0.14338	0.15708	0.16836	0.1549	0.15874	0.15972	0.16552	0.15604	0.15248
1200	0.12578	0.19728	0.20452	0.20336	0.2021	0.20358	0.2038	0.20284	0.21586	0.20934	0.20862	0.21296	0.21626	0.21816	0.1908	0.20512	0.20576	0.2122	0.22074	0.23578	0.17742	0.16706	0.18282	0.19392	0.16776	0.16924	0.17386	0.1855	0.1843	0.18204	0.14556	0.14412	0.1592	0.1717	0.1569	0.16096	0.16208	0.16802	0.15792	0.1546
1230	0.12574	0.20018	0.20776	0.20646	0.20512	0.20684	0.20716	0.20626	0.22014	0.2136	0.21166	0.21624	0.21982	0.22198	0.19322	0.20848	0.20918	0.21594	0.22534	0.24314	0.17918	0.16846	0.18554	0.19726	0.1692	0.17078	0.17566	0.18812	0.1875	0.18574	0.14626	0.14466	0.16128	0.17522	0.15878	0.16318	0.16446	0.17058	0.15998	0.15672
1260	0.12592	0.20368	0.21156	0.21018	0.20872	0.2105	0.21118	0.21026	0.22504	0.21856	0.21536	0.2204	0.22404	0.22672	0.19582	0.21176	0.21322	0.22036	0.231	0.25188	0.18188	0.1706	0.18906	0.20158	0.1713	0.17302	0.17834	0.19152	0.19136	0.1903	0.14726	0.1458	0.1642	0.17964	0.16134	0.16616	0.16762	0.1741	0.16238	0.1594
1290	0.12586	0.20694	0.21496	0.21362	0.21202	0.21404	0.2149	0.21402	0.22996	0.22366	0.21894	0.2244	0.22808	0.2313	0.19866	0.21508	0.21712	0.22482	0.23666	0.26108	0.18452	0.17256	0.19252	0.20584	0.1733	0.17506	0.1808	0.19478	0.19504	0.19542	0.14822	0.14676	0.16698	0.1843	0.16384	0.16904	0.17072	0.1776	0.16452	0.16188
1320	0.12576	0.2104	0.21888	0.21754	0.21574	0.21792	0.21912	0.21842	0.2353	0.22906	0.22286	0.2287	0.2326	0.23634	0.20174	0.21912	0.2218	0.22994	0.2429	0.2721	0.18764	0.17466	0.19626	0.21058	0.17554	0.1775	0.18366	0.1987	0.1997	0.20124	0.14926	0.14772	0.17032	0.18974	0.16688	0.17254	0.17436	0.18166	0.16738	0.1648
1350	0.12592	0.2147	0.22348	0.22184	0.22014	0.22256	0.2238	0.22336	0.24136	0.23524	0.22758	0.23372	0.23766	0.24184	0.2052	0.2235	0.22672	0.23582	0.25024	0.28392	0.19126	0.17738	0.20082	0.21622	0.1783	0.18036	0.18704	0.20316	0.20484	0.20794	0.15084	0.14924	0.1745	0.19646	0.1707	0.1769	0.17906	0.18678	0.17098	0.16868
1380	0.12592	0.21898	0.22786	0.22632	0.2245	0.22724	0.22868	0.22832	0.2479	0.24228	0.23246	0.23884	0.24314	0.24806	0.2088	0.22788	0.23228	0.24166	0.25744	0.29712	0.19478	0.18	0.20546	0.22212	0.18106	0.18328	0.19054	0.20802	0.21062	0.2154	0.15232	0.15068	0.17908	0.20386	0.17478	0.1816	0.18386	0.1923	0.17484	0.17318
1410	0.12586	0.22318	0.23246	0.23082	0.22872	0.23184	0.23352	0.23328	0.25446	0.2492	0.23684	0.24404	0.24866	0.2541	0.21246	0.23242	0.23794	0.24776	0.26542	0.312	0.19862	0.18268	0.21064	0.22864	0.18394	0.1866	0.19404	0.2128	0.21666	0.22356	0.15366	0.15214	0.18396	0.21198	0.17934	0.18674	0.1893	0.19844	0.17864	0.17786
1440	0.12584	0.22814	0.23782	0.23598	0.23376	0.23732	0.23932	0.23928	0.262	0.25734	0.24246	0.25006	0.25496	0.26138	0.21674	0.23814	0.24418	0.25504	0.27512	0.3293	0.2033	0.18616	0.21672	0.23616	0.18772	0.19048	0.19862	0.21866	0.22386	0.23358	0.15582	0.15422	0.19004	0.2217	0.1848	0.193	0.19584	0.20566	0.18412	0.18382
1470	0.12596	0.23338	0.24316	0.24168	0.23916	0.24318	0.2454	0.24534	0.27024	0.2661	0.24832	0.2563	0.26158	0.269	0.22132	0.24372	0.25086	0.26252	0.28536	0.34854	0.20806	0.18964	0.2232	0.24438	0.19158	0.19454	0.20328	0.225	0.23198	0.24446	0.15824	0.15656	0.19704	0.2329	0.19122	0.20038	0.20352	0.2142	0.19036	0.1906
1500	0.1261	0.23894	0.24896	0.2476	0.24486	0.24934	0.25176	0.25226	0.27916	0.27588	0.25468	0.26304	0.26866	0.27726	0.2264	0.25	0.25854	0.27154	0.29676	0.37034	0.2138	0.1937	0.23064	0.25366	0.19606	0.1993	0.20862	0.23226	0.2408	0.25726	0.16098	0.1593	0.205	0.2459	0.19848	0.20864	0.21208	0.22396	0.19678	0.19822
1530	0.12602	0.24522	0.25536	0.25394	0.2513	0.25612	0.25878	0.25972	0.28906	0.28696	0.26152	0.27066	0.2765	0.28614	0.23158	0.25652	0.2667	0.2809	0.30922	0.39458	0.22018	0.1984	0.23888	0.26414	0.20086	0.20446	0.2147	0.24036	0.25116	0.27202	0.1642	0.16248	0.21426	0.261	0.207	0.21836	0.2222	0.23524	0.20498	0.20706
1560	0.12624	0.25168	0.26206	0.26036	0.25754	0.26316	0.26616	0.26738	0.29958	0.2986	0.26886	0.27864	0.28494	0.29598	0.23734	0.26364	0.27542	0.29104	0.3231	0.42242	0.22698	0.20332	0.24794	0.27554	0.20624	0.21016	0.22102	0.2489	0.26226	0.28844	0.16764	0.1659	0.22448	0.27756	0.21644	0.22896	0.23342	0.24774	0.21412	0.21704
1590	0.12606	0.2585	0.26914	0.26756	0.26436	0.27058	0.27418	0.27598	0.31112	0.31184	0.27696	0.28698	0.2938	0.30618	0.24328	0.27098	0.28514	0.30226	0.3383	0.45248	0.23428	0.20878	0.25824	0.28848	0.21234	0.21664	0.22834	0.25878	0.27548	0.30684	0.17162	0.16968	0.23626	0.29678	0.2272	0.24144	0.24638	0.26214	0.22432	0.2285
1620	0.12628	0.26634	0.27722	0.2755	0.27206	0.2791	0.2829	0.2856	0.32396	0.3268	0.28572	0.29652	0.30366	0.3177	0.24992	0.27988	0.29596	0.3149	0.35576	0.48674	0.24254	0.21482	0.26962	0.30288	0.2192	0.22406	0.23676	0.27014	0.2901	0.32774	0.17654	0.17428	0.25002	0.3189	0.2399	0.25602	0.26174	0.2791	0.23604	0.24174
1650	0.12626	0.27492	0.2858	0.28422	0.28052	0.28844	0.29248	0.29596	0.3382	0.34292	0.29528	0.30686	0.31486	0.33058	0.25732	0.28932	0.30796	0.32884	0.37526	0.5254	0.25224	0.22188	0.28256	0.31908	0.22676	0.23214	0.24624	0.28248	0.3066	0.35152	0.18166	0.1796	0.2654	0.3437	0.25402	0.27254	0.27916	0.29836	0.24986	0.25636
1680	0.12618	0.28382	0.29534	0.29358	0.2895	0.29812	0.30318	0.3073	0.35394	0.36082	0.30586	0.31774	0.3267	0.34448	0.26546	0.29938	0.32074	0.34404	0.3968	0.567	0.2628	0.2296	0.29686	0.3374	0.23548	0.24136	0.25646	0.29692	0.32508	0.37788	0.18768	0.1856	0.28292	0.3719	0.26996	0.29124	0.29898	0.32006	0.26504	0.27242
1710	0.1263	0.294	0.30566	0.30366	0.2992	0.30892	0.31498	0.31982	0.37142	0.38156	0.3171	0.32986	0.34018	0.35994	0.27408	0.31042	0.33534	0.36194	0.42102	0.6133	0.27492	0.23836	0.31308	0.35814	0.24524	0.25176	0.26808	0.3129	0.34634	0.40686	0.1946	0.19268	0.3023	0.40294	0.28808	0.31242	0.32146	0.34442	0.28254	0.2896
1740	0.12634	0.30488	0.31668	0.31458	0.31	0.32066	0.3276	0.3334	0.39086	0.4042	0.32966	0.34306	0.35472	0.3766	0.28352	0.32246	0.3512	0.38092	0.44778	0.66268	0.28814	0.24812	0.33118	0.38146	0.25628	0.26332	0.281	0.3306	0.37022	0.43878	0.20264	0.20062	0.32392	0.43584	0.30834	0.336	0.346	0.37198	0.30192	0.30706
1770	0.1263	0.3167	0.32898	0.32656	0.32198	0.33384	0.3415	0.34896	0.41188	0.42904	0.34352	0.35756	0.37076	0.39576	0.29462	0.33562	0.36926	0.40266	0.47738	0.7161	0.30342	0.25916	0.352	0.40762	0.26882	0.27676	0.2961	0.3514	0.39698	0.47302	0.21184	0.20974	0.34718	0.46932	0.33076	0.36234	0.3748	0.40266	0.32286	0.32466
1800	0.12638	0.32932	0.34212	0.3395	0.33444	0.34774	0.35656	0.36536	0.43514	0.45704	0.35868	0.37314	0.38824	0.4166	0.30608	0.35048	0.38908	0.42656	0.51058	0.7713	0.32046	0.27138	0.37432	0.4361	0.28294	0.2914	0.31276	0.37402	0.42602	0.50776	0.22216	0.2204	0.37226	0.50348	0.35524	0.39072	0.40474	0.4356	0.34512	0.3416
1830	0.12642	0.34362	0.35662	0.3536	0.34846	0.36318	0.37296	0.3832	0.45996	0.48828	0.37506	0.39052	0.407	0.43846	0.31834	0.36662	0.4108	0.45262	0.5464	0.8282	0.33908	0.28484	0.39928	0.46722	0.29826	0.30752	0.3309	0.39906	0.4589	0.54326	0.23394	0.23202	0.39744	0.53698	0.38032	0.42	0.43658	0.46978	0.36856	0.35726
1860	0.12668	0.35936	0.37316	0.36916	0.36382	0.38048	0.39156	0.40302	0.48836	0.52214	0.39344	0.4101	0.4291	0.46312	0.33318	0.38464	0.43522	0.48196	0.58566	0.8839	0.36084	0.3005	0.42772	0.50232	0.31618	0.32666	0.35178	0.42808	0.49644	0.57788	0.24714	0.2453	0.4219	0.56794	0.40586	0.45038	0.46918	0.50502	0.392	0.3715
1890	0.12664	0.37624	0.3904	0.38604	0.3798	0.39836	0.41094	0.42452	0.51818	0.5589	0.41378	0.43042	0.45258	0.4904	0.34862	0.40464	0.46204	0.51424	0.62868	0.93776	0.38412	0.31738	0.4582	0.54058	0.33572	0.34776	0.37448	0.45984	0.53598	0.61022	0.26134	0.25974	0.44434	0.59612	0.43052	0.48002	0.50058	0.53934	0.41398	0.38404
1920	0.12672	0.39416	0.40898	0.40444	0.39778	0.41852	0.43248	0.4479	0.55078	0.5987	0.43558	0.45304	0.47806	0.5194	0.36596	0.42608	0.49162	0.54886	0.674	0.98688	0.4102	0.33618	0.4916	0.58242	0.3575	0.37032	0.40004	0.49504	0.57764	0.6394	0.27696	0.27574	0.46602	0.62192	0.45364	0.50958	0.53136	0.572	0.4344	0.3958
1950	0.12676	0.41424	0.42956	0.4248	0.41768	0.44052	0.45596	0.47408	0.58638	0.64148	0.45916	0.47748	0.50598	0.5512	0.38552	0.45032	0.52452	0.58642	0.72332	1.0319	0.43954	0.35738	0.5281	0.62804	0.382	0.3959	0.42848	0.5348	0.62282	0.66742	0.29306	0.2933	0.48632	0.64544	0.47552	0.53736	0.55898	0.60296	0.45292	0.40644
