time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
1020	0.12794	0.83584	0.8981	0.9112	0.83268	0.80476	0.79642	0.77124	0.78582	0.80986	1.20204	1.232	0.89252	0.95408	1.21952	1.25814	1.14394	1.19714	1.23418	1.28046	1.01666	1.13738	1.0994	1.15682	0.85938	0.8667	1.00058	1.06378	1.12074	1.05676	0.77866	0.77314	0.77796	0.80766	0.63206	0.59532	0.90716	0.92374	0.6483	0.62922
1050	0.12796	0.9037	0.96816	0.97962	0.90424	0.87614	0.86822	0.8408	0.85512	0.88024	1.25128	1.28308	0.96246	1.02662	1.2661	1.30516	1.1867	1.23702	1.27956	1.32124	1.0679	1.18472	1.14252	1.19918	0.91934	0.92882	1.05496	1.1205	1.16278	1.10194	0.82766	0.82016	0.82352	0.85604	0.6785	0.64212	0.94436	0.9631	0.69358	0.67546
1080	0.12784	0.96862	1.0338	1.04446	0.97402	0.9458	0.93828	0.91052	0.92332	0.9482	1.2972	1.32908	1.02852	1.0927	1.3092	1.3479	1.2259	1.27368	1.32062	1.35952	1.11288	1.22772	1.18056	1.23648	0.97132	0.98442	1.10246	1.16942	1.19916	1.14046	0.8697	0.86322	0.86328	0.89622	0.71914	0.68452	0.97624	0.99768	0.73394	0.71674
1110	0.12778	1.02666	1.09478	1.10376	1.0392	1.01358	1.00476	0.97662	0.98768	1.01366	1.33906	1.37066	1.08686	1.15124	1.34794	1.3854	1.26028	1.30602	1.35698	1.39358	1.15152	1.26552	1.21344	1.26948	1.01512	1.0329	1.14392	1.2112	1.23078	1.17318	0.9074	0.9019	0.89888	0.93264	0.75444	0.7223	1.00432	1.02746	0.76976	0.75316
1140	0.12784	1.07944	1.1489	1.15614	1.09882	1.0748	1.06636	1.0377	1.04856	1.072	1.37642	1.40828	1.1397	1.2048	1.38248	1.41978	1.29224	1.33562	1.3907	1.42598	1.18614	1.29868	1.24392	1.2981	1.054	1.0745	1.18072	1.2481	1.25878	1.2032	0.93832	0.93412	0.93002	0.96402	0.78642	0.75496	1.03008	1.05448	0.79916	0.78508
1170	0.12782	1.12802	1.19718	1.20384	1.15242	1.1304	1.12106	1.09344	1.10244	1.12528	1.41096	1.4434	1.18806	1.2536	1.41334	1.4504	1.32128	1.36368	1.42224	1.45672	1.21852	1.3286	1.27068	1.32504	1.08906	1.10996	1.21462	1.28118	1.2847	1.2298	0.9671	0.9637	0.95738	0.9929	0.8149	0.78376	1.05378	1.07848	0.8255	0.81206
1200	0.12782	1.1718	1.24114	1.2478	1.20064	1.17956	1.16922	1.14352	1.15082	1.17178	1.44354	1.47576	1.23116	1.29626	1.4419	1.47928	1.34912	1.39156	1.45174	1.48582	1.24644	1.35618	1.29592	1.3506	1.11998	1.14324	1.24548	1.31034	1.31006	1.25504	0.99284	0.99078	0.98212	1.01888	0.83946	0.8098	1.07424	1.0997	0.8505	0.83624
1230	0.12786	1.21138	1.28164	1.2877	1.245	1.22524	1.21502	1.18884	1.19404	1.2145	1.4751	1.50684	1.2701	1.33526	1.47044	1.50692	1.37644	1.41902	1.48244	1.51708	1.27438	1.38348	1.32162	1.37546	1.15048	1.17368	1.27468	1.34068	1.33424	1.28118	1.01786	1.01534	1.00628	1.0427	0.86372	0.83312	1.09512	1.11996	0.87358	0.85902
1260	0.12784	1.24468	1.3163	1.32282	1.28438	1.26502	1.25506	1.23046	1.23314	1.25174	1.5043	1.53524	1.3056	1.36894	1.4951	1.53198	1.402	1.4448	1.51022	1.54398	1.30044	1.4073	1.3446	1.39806	1.17678	1.20068	1.30112	1.3671	1.35628	1.30534	1.0405	1.03848	1.02798	1.06408	0.88612	0.85564	1.11284	1.1383	0.89344	0.87904
1290	0.12774	1.27672	1.34944	1.35502	1.32136	1.3026	1.2923	1.26608	1.26736	1.2848	1.53374	1.56482	1.33792	1.40124	1.5213	1.5583	1.42854	1.4719	1.5379	1.56778	1.325	1.43238	1.3683	1.42054	1.20242	1.22798	1.328	1.39382	1.37904	1.32746	1.06258	1.06278	1.04902	1.08548	0.90834	0.87784	1.13114	1.15714	0.9128	0.89846
